Fold,n_neighbors,weights,algorithm,Train Accuracy (%),Test Accuracy (%)
1,3,uniform,auto,93.33%,90.40%
1,3,uniform,brute,93.33%,90.40%
1,3,uniform,ball_tree,93.07%,89.60%
1,3,uniform,kd_tree,93.07%,89.60%
1,3,distance,auto,100%,90.40%
1,3,distance,brute,100%,90.40%
1,3,distance,ball_tree,100%,89.60%
1,3,distance,kd_tree,100%,89.60%
1,5,uniform,auto,93.07%,89.60%
1,5,uniform,brute,93.07%,89.60%
1,5,uniform,ball_tree,93.07%,91.20%
1,5,uniform,kd_tree,92.53%,89.60%
1,5,distance,auto,100%,89.60%
1,5,distance,brute,100%,89.60%
1,5,distance,ball_tree,100%,91.20%
1,5,distance,kd_tree,100%,89.60%
1,7,uniform,auto,91.20%,89.60%
1,7,uniform,brute,91.20%,89.60%
1,7,uniform,ball_tree,91.20%,89.60%
1,7,uniform,kd_tree,91.20%,89.60%
1,7,distance,auto,100%,90.40%
1,7,distance,brute,100%,90.40%
1,7,distance,ball_tree,100%,90.40%
1,7,distance,kd_tree,100%,90.40%
1,9,uniform,auto,90.67%,89.60%
1,9,uniform,brute,90.67%,89.60%
1,9,uniform,ball_tree,90.67%,89.60%
1,9,uniform,kd_tree,90.67%,88.80%
1,9,distance,auto,100%,89.60%
1,9,distance,brute,100%,89.60%
1,9,distance,ball_tree,100%,89.60%
1,9,distance,kd_tree,100%,88.80%
2,3,uniform,auto,94.13%,92.80%
2,3,uniform,brute,94.13%,92.80%
2,3,uniform,ball_tree,94.13%,92.80%
2,3,uniform,kd_tree,94.13%,92%
2,3,distance,auto,100%,92.80%
2,3,distance,brute,100%,92.80%
2,3,distance,ball_tree,100%,92.80%
2,3,distance,kd_tree,100%,92%
2,5,uniform,auto,92.53%,92%
2,5,uniform,brute,92.53%,92%
2,5,uniform,ball_tree,92.53%,92%
2,5,uniform,kd_tree,92.53%,92%
2,5,distance,auto,100%,92%
2,5,distance,brute,100%,92%
2,5,distance,ball_tree,100%,92%
2,5,distance,kd_tree,100%,92%
2,7,uniform,auto,92%,92%
2,7,uniform,brute,92%,92%
2,7,uniform,ball_tree,92%,92%
2,7,uniform,kd_tree,92.27%,92%
2,7,distance,auto,100%,92%
2,7,distance,brute,100%,92%
2,7,distance,ball_tree,100%,92%
2,7,distance,kd_tree,100%,92%
2,9,uniform,auto,91.73%,92%
2,9,uniform,brute,91.73%,92%
2,9,uniform,ball_tree,91.73%,92%
2,9,uniform,kd_tree,91.73%,92%
2,9,distance,auto,100%,92%
2,9,distance,brute,100%,92%
2,9,distance,ball_tree,100%,92%
2,9,distance,kd_tree,100%,92%
3,3,uniform,auto,95.20%,91.20%
3,3,uniform,brute,95.20%,91.20%
3,3,uniform,ball_tree,94.67%,91.20%
3,3,uniform,kd_tree,94.67%,90.40%
3,3,distance,auto,100%,91.20%
3,3,distance,brute,100%,91.20%
3,3,distance,ball_tree,100%,91.20%
3,3,distance,kd_tree,100%,90.40%
3,5,uniform,auto,93.33%,91.20%
3,5,uniform,brute,93.33%,91.20%
3,5,uniform,ball_tree,93.07%,91.20%
3,5,uniform,kd_tree,93.07%,91.20%
3,5,distance,auto,100%,91.20%
3,5,distance,brute,100%,91.20%
3,5,distance,ball_tree,100%,91.20%
3,5,distance,kd_tree,100%,91.20%
3,7,uniform,auto,93.07%,90.40%
3,7,uniform,brute,93.07%,90.40%
3,7,uniform,ball_tree,92.80%,90.40%
3,7,uniform,kd_tree,92.80%,90.40%
3,7,distance,auto,100%,90.40%
3,7,distance,brute,100%,90.40%
3,7,distance,ball_tree,100%,90.40%
3,7,distance,kd_tree,100%,90.40%
3,9,uniform,auto,92.27%,90.40%
3,9,uniform,brute,92.27%,90.40%
3,9,uniform,ball_tree,92.27%,90.40%
3,9,uniform,kd_tree,92.27%,90.40%
3,9,distance,auto,100%,90.40%
3,9,distance,brute,100%,90.40%
3,9,distance,ball_tree,100%,90.40%
3,9,distance,kd_tree,100%,90.40%
4,3,uniform,auto,94.40%,88.80%
4,3,uniform,brute,94.40%,88.80%
4,3,uniform,ball_tree,94.13%,89.60%
4,3,uniform,kd_tree,94.13%,89.60%
4,3,distance,auto,100%,88.80%
4,3,distance,brute,100%,88.80%
4,3,distance,ball_tree,100%,89.60%
4,3,distance,kd_tree,100%,89.60%
4,5,uniform,auto,92.53%,88.80%
4,5,uniform,brute,92.53%,88.80%
4,5,uniform,ball_tree,92.53%,88%
4,5,uniform,kd_tree,92.53%,88.80%
4,5,distance,auto,100%,88.80%
4,5,distance,brute,100%,88.80%
4,5,distance,ball_tree,100%,88%
4,5,distance,kd_tree,100%,88.80%
4,7,uniform,auto,92.80%,89.60%
4,7,uniform,brute,92.80%,89.60%
4,7,uniform,ball_tree,92.53%,88.80%
4,7,uniform,kd_tree,92.80%,88.80%
4,7,distance,auto,100%,89.60%
4,7,distance,brute,100%,89.60%
4,7,distance,ball_tree,100%,88.80%
4,7,distance,kd_tree,100%,88.80%
4,9,uniform,auto,92.80%,88.80%
4,9,uniform,brute,92.80%,88.80%
4,9,uniform,ball_tree,92.80%,88.80%
4,9,uniform,kd_tree,92.80%,88.80%
4,9,distance,auto,100%,88.80%
4,9,distance,brute,100%,88.80%
4,9,distance,ball_tree,100%,88.80%
4,9,distance,kd_tree,100%,88.80%
